"1010101010101010", "0101010101010101"
"0010010010010010", "1001001001001001"
"1010010100101001", "0100101001010010"
"1010100101010010", "1001010101001001"
"0101010101010101", "1010010100101001"
"1011100100101001", "1000001110001101"
"0101101010010101", "1100000110000001"
"0100110101100101", "0011011110111001"
"1011010110101001", "1111011011100010"
"1001011011010101", "1010011000100111"
"0011010101010101", "1010001001100000"
"1011010101100101", "0111101101100110"
"1010110010101011", "0111011100010011"
